Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,DUID
AGL Dalrymple Pty Limited,Dalrymple North BESS,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-Dec,Y,DALNTH1
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-Mar,Y,ADPBA1G
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-Mar,Y,ADPBA1L
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1-Feb,Y,ADPMH1
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,ADPPV1
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-Feb,Y,ADPPV2
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1,Y,ADPPV3
Aldoga Solar Farm Pty Ltd,Aldoga Solar Farm ,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltalic Tracking Flat Panel,1-157,Y,ALDGASF1
Snowy Hydro Limited,Angaston Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Jan-30,Y,ANGAST1
EDL Group Operations Pty Ltd,Appin Power Plant,NSW1,Generating Unit,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,Jan-54,N,APPIN
Ararat Wind Farm Pty Ltd,Ararat Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-75,Y,ARWF1
Iberdrola Australia Energy Markets Pty Ltd,Avonlie Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-70,Y,AVLSF1
Alinta Energy Retail Sales Pty Ltd,Bairnsdale Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,BDL01
Alinta Energy Retail Sales Pty Ltd,Bairnsdale Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,BDL02
Birdwood Trading Pty Ltd,Baking Board Solar Farm,QLD1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Jul,Y,BAKING1
Alinta Energy Retail Sales Pty Ltd,Bald Hills Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-52,Y,BALDHWF1
Enel X Australia Pty Ltd ,Ballarat Base Hospital Plant,VIC1,Generating Unit,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,1-Mar,N,BBASEHOS
AGL Macquarie Pty Limited,Broken Hill Battery Energy Storage System,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-44,Y,BHB1
