HalfHourInterval,RegionID,Percentile,Value
25/06/2025 13:00,VIC1,P75,9.95551
25/06/2025 13:00,VIC1,P25,-7.32
25/06/2025 13:00,VIC1,P90,9.95551
25/06/2025 13:00,VIC1,P10,-13.66
25/06/2025 13:00,VIC1,P95,41.687
25/06/2025 13:00,VIC1,P5,-15.89957
25/06/2025 13:00,VIC1,P50,0
25/06/2025 13:30,VIC1,P75,1.36005
25/06/2025 13:30,VIC1,P25,0
25/06/2025 13:30,VIC1,P90,8.95
25/06/2025 13:30,VIC1,P10,-2.78426
25/06/2025 13:30,VIC1,P95,21.34594
25/06/2025 13:30,VIC1,P5,-15.80717
25/06/2025 13:30,VIC1,P50,0.01
25/06/2025 14:00,VIC1,P75,-13.52
25/06/2025 14:00,VIC1,P25,-15.5
25/06/2025 14:00,VIC1,P90,0
25/06/2025 14:00,VIC1,P10,-15.87507
25/06/2025 14:00,VIC1,P95,8.96
25/06/2025 14:00,VIC1,P5,-18.96255
25/06/2025 14:00,VIC1,P50,-13.66
25/06/2025 14:30,VIC1,P75,8.95
25/06/2025 14:30,VIC1,P25,0.01
25/06/2025 14:30,VIC1,P90,8.95
25/06/2025 14:30,VIC1,P10,-13.16286
25/06/2025 14:30,VIC1,P95,19.19
25/06/2025 14:30,VIC1,P5,-15.5
25/06/2025 14:30,VIC1,P50,8.95
25/06/2025 15:00,VIC1,P75,8.95
25/06/2025 15:00,VIC1,P25,0.01
25/06/2025 15:00,VIC1,P90,8.95
25/06/2025 15:00,VIC1,P10,-9.60458
25/06/2025 15:00,VIC1,P95,12.42
25/06/2025 15:00,VIC1,P5,-15.86855
25/06/2025 15:00,VIC1,P50,4.49983
25/06/2025 15:30,VIC1,P75,-9.60712
25/06/2025 15:30,VIC1,P25,-15.5
25/06/2025 15:30,VIC1,P90,0
25/06/2025 15:30,VIC1,P10,-16.58823
25/06/2025 15:30,VIC1,P95,9.95551
25/06/2025 15:30,VIC1,P5,-19.99976
25/06/2025 15:30,VIC1,P50,-13.66
25/06/2025 16:00,VIC1,P75,0.9716
25/06/2025 16:00,VIC1,P25,0.00004
25/06/2025 16:00,VIC1,P90,8.96
25/06/2025 16:00,VIC1,P10,0.00004
25/06/2025 16:00,VIC1,P95,23.46136
25/06/2025 16:00,VIC1,P5,-13.66
25/06/2025 16:00,VIC1,P50,0.00022
25/06/2025 16:30,VIC1,P75,33.72654
25/06/2025 16:30,VIC1,P25,32.66996
25/06/2025 16:30,VIC1,P90,34.26345
25/06/2025 16:30,VIC1,P10,31.35054
25/06/2025 16:30,VIC1,P95,43.37774
25/06/2025 16:30,VIC1,P5,8.95022
25/06/2025 16:30,VIC1,P50,33.1954
25/06/2025 17:00,VIC1,P75,107.86001
25/06/2025 17:00,VIC1,P25,82.35965
25/06/2025 17:00,VIC1,P90,109.54196
25/06/2025 17:00,VIC1,P10,80.0737
25/06/2025 17:00,VIC1,P95,205.8
25/06/2025 17:00,VIC1,P5,69.55522
25/06/2025 17:00,VIC1,P50,94.5151
25/06/2025 17:30,VIC1,P75,125.42513
25/06/2025 17:30,VIC1,P25,122.02
25/06/2025 17:30,VIC1,P90,128.29725
25/06/2025 17:30,VIC1,P10,121.63465
25/06/2025 17:30,VIC1,P95,205.8
25/06/2025 17:30,VIC1,P5,116.09568
25/06/2025 17:30,VIC1,P50,123.51923
25/06/2025 18:00,VIC1,P75,197.65824
25/06/2025 18:00,VIC1,P25,142.3691
25/06/2025 18:00,VIC1,P90,203.14662
25/06/2025 18:00,VIC1,P10,135.33228
25/06/2025 18:00,VIC1,P95,283.57
25/06/2025 18:00,VIC1,P5,125.30812
25/06/2025 18:00,VIC1,P50,148.50414
25/06/2025 18:30,VIC1,P75,172.80405
25/06/2025 18:30,VIC1,P25,141.99
25/06/2025 18:30,VIC1,P90,175.42242
25/06/2025 18:30,VIC1,P10,141.42115
25/06/2025 18:30,VIC1,P95,205.8
25/06/2025 18:30,VIC1,P5,132.03172
25/06/2025 18:30,VIC1,P50,166.99774
25/06/2025 19:00,VIC1,P75,173.01649
25/06/2025 19:00,VIC1,P25,170.23
25/06/2025 19:00,VIC1,P90,175.63733
25/06/2025 19:00,VIC1,P10,169.56107
25/06/2025 19:00,VIC1,P95,189.82454
25/06/2025 19:00,VIC1,P5,141.80679
25/06/2025 19:00,VIC1,P50,170.41523
25/06/2025 19:30,VIC1,P75,185.5112
25/06/2025 19:30,VIC1,P25,178.17571
25/06/2025 19:30,VIC1,P90,195.85255
25/06/2025 19:30,VIC1,P10,174.21193
25/06/2025 19:30,VIC1,P95,282.82
25/06/2025 19:30,VIC1,P5,145.34255
25/06/2025 19:30,VIC1,P50,180.85713
25/06/2025 20:00,VIC1,P75,202.29836
25/06/2025 20:00,VIC1,P25,180.55736
25/06/2025 20:00,VIC1,P90,205.8
25/06/2025 20:00,VIC1,P10,177.87944
25/06/2025 20:00,VIC1,P95,361.69018
25/06/2025 20:00,VIC1,P5,152.97063
25/06/2025 20:00,VIC1,P50,183.26697
25/06/2025 20:30,VIC1,P75,218.65755
25/06/2025 20:30,VIC1,P25,181.71904
25/06/2025 20:30,VIC1,P90,257.76436
25/06/2025 20:30,VIC1,P10,179.02756
25/06/2025 20:30,VIC1,P95,379.02619
25/06/2025 20:30,VIC1,P5,168.27707
25/06/2025 20:30,VIC1,P50,205.8
25/06/2025 21:00,VIC1,P75,295.64654
25/06/2025 21:00,VIC1,P25,282.24938
25/06/2025 21:00,VIC1,P90,355.0024
25/06/2025 21:00,VIC1,P10,195.38643
25/06/2025 21:00,VIC1,P95,435.68751
25/06/2025 21:00,VIC1,P5,169.99083
25/06/2025 21:00,VIC1,P50,283.57
25/06/2025 21:30,VIC1,P75,313.997
25/06/2025 21:30,VIC1,P25,270.82
25/06/2025 21:30,VIC1,P90,356.50033
25/06/2025 21:30,VIC1,P10,244.21858
25/06/2025 21:30,VIC1,P95,446.11514
25/06/2025 21:30,VIC1,P5,166.82661
25/06/2025 21:30,VIC1,P50,282.82
25/06/2025 22:00,VIC1,P75,396.24
25/06/2025 22:00,VIC1,P25,282.82
25/06/2025 22:00,VIC1,P90,406.05835
25/06/2025 22:00,VIC1,P10,172.14964
25/06/2025 22:00,VIC1,P95,464.26312
25/06/2025 22:00,VIC1,P5,136.30915
25/06/2025 22:00,VIC1,P50,360.07
25/06/2025 22:30,VIC1,P75,197.35902
25/06/2025 22:30,VIC1,P25,166.88488
25/06/2025 22:30,VIC1,P90,282.82
25/06/2025 22:30,VIC1,P10,141.29019
25/06/2025 22:30,VIC1,P95,396.24
25/06/2025 22:30,VIC1,P5,127.7132
