I,PDREGION,Unnamed: 2,5,PREDISPATCHSEQNO,RUNNO,REGIONID,PERIODID,RRP,EEP,TOTALDEMAND,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,RAISEREGRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP,LOWERREGRRP,RAISE6SECACTUALAVAILABILITY,RAISE60SECACTUALAVAILABILITY,RAISE5MINACTUALAVAILABILITY,RAISEREGACTUALAVAILABILITY,LOWER6SECACTUALAVAILABILITY,LOWER60SECACTUALAVAILABILITY,LOWER5MINACTUALAVAILABILITY,LOWERREGACTUALAVAILABILITY,DECAVAILABILITY,LORSURPLUS,LRCSURPLUS,INTERVENTION,LOWER1SECLOCALDISPATCH,RAISE1SECLOCALDISPATCH,RAISE1SECACTUALAVAILABILITY,LOWER1SECACTUALAVAILABILITY,SS_SOLAR_AVAILABILITY,SS_WIND_AVAILABILITY,RAISE1SECRRP,LOWER1SECRRP
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 00:30:00,177.3585,0,5721.99,5841.05,122,-2.94,0,,,24,,,,,,,,113.0,,,,,,,,80.34,,,,,,,,214.99,,,,,,,,249.0,,,,,,,,150.0,,,,,,9365.054,573.0,5802.79752,5848.31,,41.0,,,,52.0,,,,,,,,,,,,,,,,,,,0.38,0.15,0.1,9.89,0.1,0.38,0.01,0.01,763.0,767.0,769.0,450.0,504.0,524.0,532.0,403.0,9207.654,,,0.0,1.0,38.24,276.0,331.0,0.0,1075.054,0.86,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 01:00:00,172.13053,0,5543.13,5702.8,54,105.67,0,,,52,,,,,,,,153.0,,,,,,,,118.05,,,,,,,,238.0,,,,,,,,247.0,,,,,,,,131.0,,,,,,9292.803,573.0,5848.31495,5606.87,,87.0,,,,34.0,,,,,,,,,,,,,,,,,,,0.38,0.24,0.1,9.89,0.1,0.38,0.0,0.0,861.0,866.0,868.0,561.0,654.0,694.0,684.0,624.0,9133.70664,,,0.0,1.0,24.0,385.0,354.0,0.0,977.803,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 01:30:00,175.27135,0,5382.22,5547,2,162.78,0,,,58,,,,,,,,159.0,,,,,,,,145.2,,,,,,,,196.73,,,,,,,,235.76,,,,,,,,155.0,,,,,,9222.002,433.0,5606.86524,5389.82,,39.0,,,,44.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,9.89,0.2,0.38,0.04,0.04,899.0,904.0,906.0,548.0,655.0,695.0,688.0,629.0,9061.05132,,,0.0,1.0,24.0,385.0,354.0,0.0,906.002,0.38,0.01
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 02:00:00,172.58877,0,5230.35,5479.72,6,243.36,0,,,52,,,,,,,,164.0,,,,,,,,122.05,,,,,,,,196.41,,,,,,,,219.03,,,,,,,,155.0,,,,,,9154.715,433.0,5389.82222,5245.08,,24.0,,,,17.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,14.89,0.1,0.38,0.01,0.01,899.0,904.0,906.0,552.0,666.0,706.0,703.0,620.0,8976.92278,,,0.0,1.0,24.0,385.0,365.0,0.0,839.715,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 02:30:00,174.81847,0,5103.61,5410.44,104,202.84,0,,,78,,,,,,,,95.0,,,,,,,,142.0,,,,,,,,198.07,,,,,,,,213.22,,,,,,,,155.0,,,,,,9088.444,431.0,5245.0798,5213.4,,42.0,,,,74.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,7.84,0.38,0.38,0.45,0.45,899.0,904.0,906.0,650.0,645.0,684.0,655.0,530.0,8910.65178,,,0.0,1.0,24.0,385.0,357.0,0.0,770.444,0.38,0.01
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 03:00:00,172.58877,0,5010.59,5308.55,52,245.96,0,,,82,,,,,,,,95.0,,,,,,,,126.0,,,,,,,,182.84,,,,,,,,210.73,,,,,,,,156.0,,,,,,9040.548,359.0,5213.39857,5070.56,,51.0,,,,32.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,11.68,0.38,0.38,0.38,0.38,900.0,904.0,906.0,598.0,646.0,653.0,644.0,558.0,8866.09732,,,0.0,1.0,24.0,385.0,345.0,0.0,722.548,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 03:30:00,170.39631,0,4957.33,5269.75,11,301.41,0,,,82,,,,,,,,95.0,,,,,,,,126.0,,,,,,,,182.2,,,,,,,,202.2,,,,,,,,156.0,,,,,,9001.747,251.0,5070.55501,4978.87,,38.0,,,,13.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,7.94107,0.38,0.38,0.38,0.38,900.0,904.0,906.0,557.0,656.0,636.0,637.0,581.0,8827.29632,,,0.0,1.0,24.0,385.0,355.0,0.0,683.747,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 04:00:00,171.27805,0,4927.66,5221.75,0,294.09,0,,,87,,,,,,,,105.0,,,,,,,,155.0,,,,,,,,182.0,,,,,,,,199.39,,,,,,,,167.0,,,,,,8953.751,241.0,4978.86798,4937.37,,22.0,,,,17.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,11.05,0.38,0.38,0.38,0.38,900.0,904.0,906.0,546.0,662.0,646.0,637.0,575.0,8779.30032,,,0.0,1.0,24.0,385.0,361.0,0.0,635.751,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 04:30:00,163.69605,0,4953.47,5391.38,0,437.91,0,,,72.07,,,,,,,,100.0,,,,,,,,119.41,,,,,,,,200.59,,,,,,,,182.96,,,,,,,,192.96,,,,,,9013.382,339.0,4937.37078,4973.58,,20.0,,,,35.0,,,,,,,,,,,,,,,,,,,0.36,0.1,0.1,14.9017,0.1,0.38,0.2,0.2,920.0,932.0,934.0,546.0,659.0,654.0,637.0,593.59349,8838.93132,,,0.0,1.0,58.0,417.0,358.0,0.0,589.382,0.38,0.0
D,PDREGION,,5.0,2025/06/26 00:30:00,1,VIC1,2025/06/26 05:00:00,196.53492,0,5034.31,5465.16,9,421.85,0,,,77,,,,,,,,111.0,,,,,,,,120.08,,,,,,,,182.05,,,,,,,,168.83,,,,,,,,147.0,,,,,,9071.161,346.0,4973.57641,5061.56,,19.0,,,,44.0,,,,,,,,,,,,,,,,,,,0.38,0.1,0.1,32.0,0.1,0.38,0.38,0.38,879.0,883.0,885.0,555.0,649.0,654.0,629.0,580.92109,8896.71032,,,0.0,1.0,16.0,375.0,357.0,0.0,547.161,0.38,0.0
