I,PREDISPATCH,PRICESENSITIVITIES,1,PREDISPATCHSEQNO,RUNNO,REGIONID,PERIODID,INTERVENTION,RRPEEP1,RRPEEP2,RRPEEP3,RRPEEP4,RRPEEP5,RRPEEP6,RRPEEP7,RRPEEP8,RRPEEP9,RRPEEP10,RRPEEP11,RRPEEP12,RRPEEP13,RRPEEP14,RRPEEP15,RRPEEP16,RRPEEP17,RRPEEP18,RRPEEP19,RRPEEP20,RRPEEP21,RRPEEP22,RRPEEP23,RRPEEP24,RRPEEP25,RRPEEP26,RRPEEP27,RRPEEP28,DATETIME,LASTCHANGED,RRPEEP29,RRPEEP30,RRPEEP31,RRPEEP32,RRPEEP33,RRPEEP34,RRPEEP35,INTERVENTION_ACTIVE,RRPEEP36,RRPEEP37,RRPEEP38,RRPEEP39,RRPEEP40,RRPEEP41,RRPEEP42,RRPEEP43
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,1,0,177.3585,177.3585,177.3585,177.3585,227.97,177.3585,295.79814,227.97,172.58877,277.16825,169.91158,362.15379,126.15331,459.23759,207.40638,173.91972,227.97,173.03015,282.21905,171.71274,0,0,0,0,234.72575,171.71274,292.72152,165.02612,2025/06/26 00:30:00,2025/06/26 00:05:23,177.3585,177.3585,177.3585,177.3585,200.02,177.3585,241.23246,0,209.82797,175.72657,227.97,175.72657,273.49021,175.70706,299.08523,326.08724
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,2,0,172.13053,172.13053,172.13053,172.13053,172.13053,172.13053,227.97,175.27135,168.98695,227.97,161.32197,353.84456,125.58424,465.49644,173.47379,170.39631,175.27135,169.9682,222.86421,167.64516,0,0,0,0,177.70961,168.25546,269.13216,135.89,2025/06/26 01:00:00,2025/06/26 00:05:23,172.13053,172.13053,172.13053,172.13053,172.13053,172.13053,176.18416,0,172.14964,172.13053,172.14964,172.13053,172.29744,166.96789,285.22168,317.81187
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,3,0,175.27135,175.27135,175.27135,175.27135,175.27135,175.27135,287.45002,231.31163,171.69367,291.92947,168.01545,441.86389,127.52981,489.15622,177.24565,173.47379,226.9079,171.69367,281.97751,170.82658,0,0,0,0,282.37163,169.9682,339.88287,167.11866,2025/06/26 01:30:00,2025/06/26 00:05:23,175.27135,175.27135,175.27135,175.27135,175.27135,175.27135,182.55255,0,175.86817,175.27135,231.31163,175.25188,288.98941,175.25188,347.89984,441.05166
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,4,0,172.58877,172.58877,172.58877,172.58877,172.58877,172.58877,235.5998,176.78409,169.27865,285.38607,164.66271,383.22101,124.99588,480.427,174.36794,171.25903,176.78409,169.27865,276.34258,168.43442,0,0,0,0,226.63523,167.75383,284.93371,160,2025/06/26 02:00:00,2025/06/26 00:05:23,172.58877,172.58877,172.58877,172.58877,172.58877,172.58877,174.36794,0,172.58877,172.56961,173.17646,172.56961,228.54972,172.51212,290.48229,345.84526
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,5,0,174.81847,174.81847,174.81847,174.81847,174.36794,174.81847,236.90494,230.02,171.25903,288.45964,167.01569,352.92,126.50735,479.18278,177.24565,173.01094,227.99,171.25903,278.6369,170.39631,0,0,0,0,282.86745,169.23159,310.78,164.98028,2025/06/26 02:30:00,2025/06/26 00:05:23,174.81847,174.81847,174.81847,174.81847,174.81847,174.81847,174.36794,0,175.41375,174.79906,230.02,174.79906,287.2426,174.79906,292.9327,346.88658
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,6,0,172.58877,172.58877,172.58877,172.58877,172.58877,172.58877,200.02,176.32494,168.85548,288.74995,165.58248,363.71,123.76157,476.69436,173.91972,170.82658,176.32494,169.45423,276.81949,167.65105,0,0,0,0,227.97,167.65105,285.43016,131.46502,2025/06/26 03:00:00,2025/06/26 00:05:23,172.58877,172.58877,172.58877,172.58877,172.58877,172.58877,172.58877,0,172.58877,172.56961,173.17646,172.56961,227.97,172.56961,291.17635,329.61873
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,7,0,170.39631,170.39631,170.39631,170.39631,170.39631,170.39631,175.86817,173.91972,166.57012,236.56348,159.53135,352.68129,122.02,475.45014,172.14964,168.85548,173.91972,168.85548,236.56348,165.70441,0,0,0,0,176.32494,166.43066,284.60712,129.70055,2025/06/26 03:30:00,2025/06/26 00:05:23,170.39631,170.39631,170.39631,170.39631,170.39631,170.39631,170.39631,0,170.41523,170.39631,170.41523,170.39631,170.99552,166.37883,291.27239,317.843
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,8,0,171.27805,171.27805,171.27805,171.27805,171.27805,171.27805,210.11568,286.98104,167.40812,292.58263,163.94542,436.81325,122.51661,480.44834,173.03015,169.30959,281.52026,168.87426,281.52026,166.57332,0,0,0,0,283.68802,166.564,338.16792,130.27751,2025/06/26 04:00:00,2025/06/26 00:05:23,171.27805,171.27805,171.27805,171.27805,171.27805,171.27805,171.27805,0,171.27805,171.27805,282.97205,171.25903,290.32475,171.25903,291.45079,435.68751
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,9,0,163.69605,163.69605,163.69605,163.69605,163.69605,163.83367,163.90708,198.77993,159.76076,202.90633,125.48492,215.05372,105.35675,287.21943,197.01684,162.83096,198.51501,162.83096,202.90633,129.35233,0,0,0,0,200.29339,138.51092,201.31524,125.94678,2025/06/26 04:30:00,2025/06/26 00:05:23,163.69605,163.69605,163.69605,163.69605,163.69605,163.83367,163.18566,0,164.95234,162.45224,164.95234,159.76076,164.95234,143.78565,164.95234,215.05372
D,PREDISPATCH,PRICESENSITIVITIES,1.0,2025062541,1,VIC1,10,0,196.53492,196.52556,196.53492,196.52556,176.80303,196.39442,199.28187,199.78635,161.24119,202.38609,129.55205,210.20405,108.95,285.48404,197.69265,165.22184,199.78635,164.3487,202.38609,130.06103,0,0,0,0,198.01626,161.24119,201.35357,127.11388,2025/06/26 05:00:00,2025/06/26 00:05:23,196.53492,196.52556,196.53492,196.52556,176.95496,196.52556,179.61837,0,196.53492,163.58755,196.53492,161.24119,196.57239,159.41341,196.48953,208.73415
